Tablas,Base,Etiqueta
ACA_AC,BINAMICSCRM,AsesoresComerciales
ACA_ACXOR,BINAMICSCRM,RelacionACXOR
ACA_OR,BINAMICSCRM,OrganizadoresRegionales
ACA_TL,BINAMICSCRM,Team Leader
ACA_TLXOR,BINAMICSCRM,RelacionTLXOR
ACCIONES_CONTACTO,BINAMICSCRM,AccionesContacto
AGENCIAS,BINAMICSCRM,Agencias
BONIFICACIONESFORMAP,BINAMICSCRM,BonificacionesPersonas
BONIFICACIONESGRUPOAFINIDAD,BINAMICSCRM,BonificacionesGrupoAfinidad
BONIFICACIONESPROM,BINAMICSCRM,BonificacionesPromociones
CANALEMPRESA,BINAMICSCRM,CanalEmpresa
CATAFICRMXCATAFIAS,BINAMICSCRM,CategoriaAfiliadoCRMvsAS
CATEGORIAAFILIADO,BINAMICSCRM,CategoriaAfiliado
COPAGOS,BINAMICSCRM,Copagos
DETALLEAFILIADO,BINAMICSCRM,DetelleAfiliado
EJERCICIOS,BINAMICSCRM,Ejercicios
ESTADOCIVIL,BINAMICSCRM,EstadoCivil
ESTADOS,BINAMICSCRM,Estados
FILIALES,BINAMICSCRM,Filiales
FORMADEPAGO,BINAMICSCRM,FormasPago
FUENTEEMPRESA,BINAMICSCRM,FuenteEmpresa
FUENTES,BINAMICSCRM,Fuentes
GRUPOAFINIDAD,BINAMICSCRM,GrupoAfinidad
GRUPOS,BINAMICSCRM,Grupos
LOCALIDADES,BINAMICSCRM,Localidades
MOTIVOS_CP,BINAMICSCRM,Motivos
MOTIVOS_NC,BINAMICSCRM,MotivosNoCierre
ORIGEN,BINAMICSCRM,Origen
PARAMETROSCOT,BINAMICSCRM,ParametrosCotizacionPersonas
PARAMETROSCOTEMP,BINAMICSCRM,ParametrosCotizacionEmpresas
PARAMETROSEDAD,BINAMICSCRM,ParametrosEdad
PLANES,BINAMICSCRM,Planes
PLANESXPARAMETROS,BINAMICSCRM,PlanesxParametros
PROVINCIAS,BINAMICSCRM,Provincias
RANGOCAPITAS,BINAMICSCRM,RangoCapitas
RANGOETARIO,BINAMICSCRM,RangoEtario
REGIONES,BINAMICSCRM,Regiones
TAMANO,BINAMICSCRM,TamañoCotizacion
TIPOCIERRE,BINAMICSCRM,TipoCierre
TIPOEMPRESA,BINAMICSCRM,TipoEmpresa
TIPOSAFILIADOS,BINAMICSCRM,TiposAfiliados
TIPOSCONTACTOS,BINAMICSCRM,TiposContactos
TIPOSDNI,BINAMICSCRM,TipoDni
USUARIOS,BINAMICSCRM,Usuarios
USUARIOSXGRUPO,BINAMICSCRM,UsuariosxGrupo
VALORESREFERENCIA,BINAMICSCRM,ValoresReferencia
CABECERACOT,BINAMICSCRM,CABECERACOT
CABECERACOTEMP,BINAMICSCRM,CABECERACOTEMP
CAMBIO_TITULARIDAD,BINAMICSCRM,CAMBIO_TITULARIDAD
CIERRE,BINAMICSCRM,CIERRE
COTIZACIONGRAL,BINAMICSCRM,COTIZACIONGRAL
DETALLECOT,BINAMICSCRM,DETALLECOT
DETALLEGESTION,BINAMICSCRM,DETALLEGESTION
DOMICILIOS,BINAMICSCRM,DOMICILIOS
EMPRESAS,BINAMICSCRM,EMPRESAS
GESTIONCOMPARTIDA,BINAMICSCRM,GESTIONCOMPARTIDA
HISTORICOS,BINAMICSCRM,HISTORICOS
NOMINA,BINAMICSCRM,NOMINA
OBJETIVOS_EMPRESASXREGION,BINAMICSCRM,OBJETIVOS_EMPRESASXREGION
OBJETIVOS_INDIVIDUOSXREGION,BINAMICSCRM,OBJETIVOS_INDIVIDUOSXREGION
PERSONAS,BINAMICSCRM,PERSONAS
VALORIZACION,BINAMICSCRM,VALORIZACION
VALORIZACIONCOPAGO,BINAMICSCRM,VALORIZACIONCOPAGO
