LOC_ID,ID_Provincia,CPA,Localidad,Provincia,Departamento,Long,Lat,noLNG,noLAT,ID_GEO,DeptoID,observaciones,fuente coordenadas
2836,B,B6660MAY,25 DE MAYO,BUENOS AIRES,25 DE MAYO,"-60,1742","-35,4281","-58,39736","-34,74402",7,B60,,coincidentes varias bases
10551,B,B6509,DEL VALLE,BUENOS AIRES,25 DE MAYO,"-60,7167","-35,9",,,519,B60,,
10753,B,B6663,JUAN VELA,BUENOS AIRES,25 DE MAYO,"-59,7667","-35,2667",,,968,B60,,
11093,B,B6015,LA TRIBU,BUENOS AIRES,25 DE MAYO,"-60,3833","-35,65",,,1209,B60,,
11321,B,B6667,MARTIN BERRAONDO,BUENOS AIRES,25 DE MAYO,"-59,95","-35,3167",,,1423,B60,,
1355,B,B6663NOR,NORBERTO DE LA RIESTRA,BUENOS AIRES,25 DE MAYO,"-59,7667","-35,2667","-58,83195","-34,64676",1492,B60,,coincidentes varias bases
11382,B,B6660,ORTIZ DE ROSAS,BUENOS AIRES,25 DE MAYO,"-60,3833","-35,4",,,1517,B60,,
11424,B,B6665,PEDERNALES,BUENOS AIRES,25 DE MAYO,"-59,65","-35,25",,,1565,B60,,
11556,B,B6661,SAN ENRIQUE,BUENOS AIRES,25 DE MAYO,"-60,1083","-35,575",,,1747,B60,,MAPAWI
3483,B,B6667,VALDEZ,BUENOS AIRES,25 DE MAYO,"-60,4833","-35,65",,,1929,B60,,
1239,B,B1678CAS,CASEROS,BUENOS AIRES,3 DE FEBRERO,"-58,5333","-34,6000","-58,4","-34,86667",342,B26,,mapawi
2837,B,B6500NJU,9 DE JULIO,BUENOS AIRES,9 DE JULIO,"-61,0000","-35,4000","-58,69112","-34,63155",11,B61,,mapawi
4621,B,B6515CMN,CARLOS MARIA NEON,BUENOS AIRES,9 DE JULIO,"-60,8333","-35,2333","-60,83766","-35,24681",333,B61,,coincidentes varias bases
4469,B,B6505DDG,DUDIGNAC,BUENOS AIRES,9 DE JULIO,"-60,7333","-35,6500","-58,29458","-34,77214",554,B61,,coincidentes varias bases
4476,B,B6516,FRENCH,BUENOS AIRES,9 DE JULIO,-61,"-35,5333",,,768,B61,,
11355,B,B6507,MOREA,BUENOS AIRES,9 DE JULIO,"-60,55","-35,5667",,,1472,B61,,
3387,B,B6533QGA,QUIROGA,BUENOS AIRES,9 DE JULIO,"-61,4192","-35,2814","-61,41974","-35,28578",1654,B61,,coincidentes varias bases
11578,B,B6500,SAN JUAN,BUENOS AIRES,9 DE JULIO,-61,"-35,4",,,1774,B61,,MAPAWI
2842,B,B6430AAL,ADOLFO ALSINA,BUENOS AIRES,ADOLFO ALSINA,"-62,7333","-37,1833","-58,39155","-34,61148",23,B95,,coincidentes varias bases
